nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0043044,tt0072308,tt0053137,tt0050419
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0040506,tt0117057,tt0038355,tt0037382
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,producer	tt0057345,tt0049189,tt0059956,tt0063715
nm0000004	John Belushi	1949	1982	actor,writer,soundtrack	tt0072562,tt0077975,tt0078723,tt0080455
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050986,tt0050976,tt0060827,tt0083922
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0034583,tt0071877,tt0038109,tt0038787
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0033870,tt0040897,tt0034583,tt0038355
